source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,6aU32Nv2,lichess-event,online,2025-12-29,blitz,true,Mlchael,ArtemChesSRU,black,2837,2745,win,31.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,0dH0VNdF,lichess-event,online,2025-12-11,blitz,true,Mlchael,markov_m,white,2828,2788,win,18.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,0dH0VNdF,lichess-event,online,2025-12-11,blitz,true,markov_m,Mlchael,black,2788,2828,loss,43.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,JsnusK9Q,nov25bta,online,2025-11-08,blitz,true,GrandByniolus,Mlchael,white,2657,2841,win,22.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,JsnusK9Q,nov25bta,online,2025-11-08,blitz,true,Mlchael,GrandByniolus,black,2841,2657,loss,38.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,AVpERw3m,nov25bta,online,2025-11-08,blitz,true,Mlchael,Zhigalko_Sergei,white,2850,2849,loss,14.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,AVpERw3m,nov25bta,online,2025-11-08,blitz,true,Zhigalko_Sergei,Mlchael,black,2849,2850,win,14.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,tHQLTdDX,nov25bta,online,2025-11-08,blitz,true,Jb2mix,Mlchael,white,2672,2845,loss,31.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,tHQLTdDX,nov25bta,online,2025-11-08,blitz,true,Mlchael,Jb2mix,black,2845,2672,win,15.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,kZjfM702,nov25bta,online,2025-11-08,blitz,true,Mlchael,Bardyk01,white,2858,2715,loss,47.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,kZjfM702,nov25bta,online,2025-11-08,blitz,true,Bardyk01,Mlchael,black,2715,2858,win,43.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,iCjw4sJz,nov25bta,online,2025-11-08,blitz,true,JayDee0305,Mlchael,white,2538,2855,loss,97.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,iCjw4sJz,nov25bta,online,2025-11-08,blitz,true,Mlchael,JayDee0305,black,2855,2538,win,103.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,D2ackjit,nov25bta,online,2025-11-08,blitz,true,hitter1999,Mlchael,white,2795,2866,win,20.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,D2ackjit,nov25bta,online,2025-11-08,blitz,true,Mlchael,hitter1999,black,2866,2795,loss,58.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,GvWHF0RY,nov25bta,online,2025-11-08,blitz,true,Mlchael,evilhamburger,white,2860,2726,win,22.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,GvWHF0RY,nov25bta,online,2025-11-08,blitz,true,evilhamburger,Mlchael,black,2726,2860,loss,47.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,XC5KYmKK,nov25bta,online,2025-11-08,blitz,true,AngelitoRT,Mlchael,white,2817,2861,draw,9.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,XC5KYmKK,nov25bta,online,2025-11-08,blitz,true,Mlchael,AngelitoRT,black,2861,2817,draw,10.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,xEyCHNZN,nov25bta,online,2025-11-08,blitz,true,Mlchael,deadly_bishops,white,2857,2611,win,74.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,xEyCHNZN,nov25bta,online,2025-11-08,blitz,true,deadly_bishops,Mlchael,black,2611,2857,loss,93.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,BtPCdo2G,nov25bta,online,2025-11-08,blitz,true,Lavrik87,Mlchael,white,2447,2855,loss,33.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,BtPCdo2G,nov25bta,online,2025-11-08,blitz,true,Mlchael,Lavrik87,black,2855,2447,win,20.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Quy0qhRc,nov25bta,online,2025-11-08,blitz,true,Mlchael,evilhamburger,white,2870,2719,loss,32.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Quy0qhRc,nov25bta,online,2025-11-08,blitz,true,evilhamburger,Mlchael,black,2719,2870,win,19.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,R23OAUr7,nov25bta,online,2025-11-08,blitz,true,Mlchael,RakitinD,white,2864,2717,win,29.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,R23OAUr7,nov25bta,online,2025-11-08,blitz,true,RakitinD,Mlchael,black,2717,2864,loss,45.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ct3BQN3I,nov25bta,online,2025-11-08,blitz,true,Mops2_2004,Mlchael,white,2678,2858,loss,31.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ct3BQN3I,nov25bta,online,2025-11-08,blitz,true,Mlchael,Mops2_2004,black,2858,2678,win,33.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,AcUB4w6U,nov25bta,online,2025-11-08,blitz,true,Mlchael,Quest_to_3000,white,2854,2566,win,14.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,AcUB4w6U,nov25bta,online,2025-11-08,blitz,true,Quest_to_3000,Mlchael,black,2566,2854,loss,33.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ObR4Xt3B,nov25bta,online,2025-11-08,blitz,true,Victory24601,Mlchael,white,2447,2852,loss,37.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ObR4Xt3B,nov25bta,online,2025-11-08,blitz,true,Mlchael,Victory24601,black,2852,2447,win,54.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,ZCYZtQAN,nov25bta,online,2025-11-08,blitz,true,germansanch,Mlchael,white,2287,2851,loss,48.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ZCYZtQAN,nov25bta,online,2025-11-08,blitz,true,Mlchael,germansanch,black,2851,2287,win,37.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,lmI02BgD,nov25bta,online,2025-11-08,blitz,true,Mlchael,SergIomiguel,white,2850,2295,win,38.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,lmI02BgD,nov25bta,online,2025-11-08,blitz,true,SergIomiguel,Mlchael,black,2295,2850,loss,49.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,necW4tOG,lichess-event,online,2025-10-19,rapid,false,Mlchael,LeelaKnightOdds,white,1743,2000,draw,17.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,necW4tOG,lichess-event,online,2025-10-19,rapid,false,LeelaKnightOdds,Mlchael,black,2000,1743,draw,12.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,hYGltApB,lichess-event,online,2025-10-19,rapid,false,Mlchael,LeelaKnightOdds,white,1743,2000,loss,29.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,hYGltApB,lichess-event,online,2025-10-19,rapid,false,LeelaKnightOdds,Mlchael,black,2000,1743,win,13.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,Fs54Y2Gj,lichess-event,online,2025-10-19,rapid,false,Mlchael,LeelaKnightOdds,white,1743,2000,loss,69.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Fs54Y2Gj,lichess-event,online,2025-10-19,rapid,false,LeelaKnightOdds,Mlchael,black,2000,1743,win,18.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,Ox3sJq2l,lichess-event,online,2025-09-02,blitz,true,Mlchael,neterpelivyy,white,2847,2560,win,7.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Ox3sJq2l,lichess-event,online,2025-09-02,blitz,true,neterpelivyy,Mlchael,black,2560,2847,loss,56.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,hTIHEOJB,lichess-event,online,2025-09-02,blitz,true,runner24,Mlchael,white,2592,2844,loss,36.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,hTIHEOJB,lichess-event,online,2025-09-02,blitz,true,Mlchael,runner24,black,2844,2592,win,28.0,active,false,clean,2026-03-02T16:21:47+00:00
