source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,Lqu1A3Ru,lichess-event,online,2026-02-25,blitz,true,CalisthenicsBoy,InvisibleGuest2023,black,3020,2833,draw,5.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,UZhIAfx3,lichess-event,online,2026-02-25,blitz,true,CalisthenicsBoy,paopaomate,white,3018,2753,win,16.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,UZhIAfx3,lichess-event,online,2026-02-25,blitz,true,paopaomate,CalisthenicsBoy,black,2753,3018,loss,26.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,DEg8aKDC,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,trainiing123,white,3015,2832,win,27.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,DEg8aKDC,lichess-event,online,2026-02-24,blitz,true,trainiing123,CalisthenicsBoy,black,2832,3015,loss,51.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ulRLpTBJ,lichess-event,online,2026-02-24,blitz,true,trainiing123,CalisthenicsBoy,white,2836,3012,loss,56.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,ulRLpTBJ,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,trainiing123,black,3012,2836,win,32.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,8ElwCD6a,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,InvisibleGuest2023,white,3020,2859,loss,35.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,8ElwCD6a,lichess-event,online,2026-02-24,blitz,true,InvisibleGuest2023,CalisthenicsBoy,black,2859,3020,win,19.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,kuJVayUK,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,cutemouse83,white,3016,2932,win,6.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,kuJVayUK,lichess-event,online,2026-02-24,blitz,true,cutemouse83,CalisthenicsBoy,black,2932,3016,loss,31.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,KTUWdvqV,lichess-event,online,2026-02-24,blitz,true,vistagusta,CalisthenicsBoy,white,2759,3014,loss,36.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,KTUWdvqV,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,vistagusta,black,3014,2759,win,22.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,khkoWVAZ,lichess-event,online,2026-02-24,blitz,true,Andrey11976,CalisthenicsBoy,white,2770,3011,loss,63.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,khkoWVAZ,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,Andrey11976,black,3011,2770,win,52.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,cUbTBMst,lichess-event,online,2026-02-24,blitz,true,Andrey11976,CalisthenicsBoy,white,2765,3009,loss,49.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,cUbTBMst,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,Andrey11976,black,3009,2765,win,20.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,sC4S22Sq,lichess-event,online,2026-02-24,blitz,true,CalisthenicsBoy,Dr_BlindPew,white,3005,2867,win,29.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,sC4S22Sq,lichess-event,online,2026-02-24,blitz,true,Dr_BlindPew,CalisthenicsBoy,black,2867,3005,loss,42.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,jCaYnCs0,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,Chalenger2030,white,3009,2760,draw,18.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,jCaYnCs0,lichess-event,online,2026-02-23,blitz,true,Chalenger2030,CalisthenicsBoy,black,2760,3009,draw,19.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,MnhRiYGW,lichess-event,online,2026-02-23,blitz,true,trainiing123,CalisthenicsBoy,white,2879,3005,loss,74.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,MnhRiYGW,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,trainiing123,black,3005,2879,win,61.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,oq7WB5cf,lichess-event,online,2026-02-23,blitz,true,InvisibleGuest2023,CalisthenicsBoy,white,2869,3007,draw,11.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,oq7WB5cf,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,InvisibleGuest2023,black,3007,2869,draw,10.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,U7foSYrt,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,InvisibleGuest2023,white,3003,2872,win,16.0,active,false,clean,2026-03-02T16:21:47+00:00
